80	0x0050	0000000001010000	0000 - 00ff = RAM [Zero Page]	
81	0x0051	0000000001010001	0000 - 00ff = RAM [Zero Page]	
82	0x0052	0000000001010010	0000 - 00ff = RAM [Zero Page]	
83	0x0053	0000000001010011	0000 - 00ff = RAM [Zero Page]	
84	0x0054	0000000001010100	0000 - 00ff = RAM [Zero Page]	
85	0x0055	0000000001010101	0000 - 00ff = RAM [Zero Page]	
86	0x0056	0000000001010110	0000 - 00ff = RAM [Zero Page]	
87	0x0057	0000000001010111	0000 - 00ff = RAM [Zero Page]	
88	0x0058	0000000001011000	0000 - 00ff = RAM [Zero Page]	
89	0x0059	0000000001011001	0000 - 00ff = RAM [Zero Page]	
90	0x005a	0000000001011010	0000 - 00ff = RAM [Zero Page]	
91	0x005b	0000000001011011	0000 - 00ff = RAM [Zero Page]	
92	0x005c	0000000001011100	0000 - 00ff = RAM [Zero Page]	
93	0x005d	0000000001011101	0000 - 00ff = RAM [Zero Page]	
94	0x005e	0000000001011110	0000 - 00ff = RAM [Zero Page]	
95	0x005f	0000000001011111	0000 - 00ff = RAM [Zero Page]	
96	0x0060	0000000001100000	0000 - 00ff = RAM [Zero Page]	
97	0x0061	0000000001100001	0000 - 00ff = RAM [Zero Page]	
98	0x0062	0000000001100010	0000 - 00ff = RAM [Zero Page]	
99	0x0063	0000000001100011	0000 - 00ff = RAM [Zero Page]	
100	0x0064	0000000001100100	0000 - 00ff = RAM [Zero Page]	
101	0x0065	0000000001100101	0000 - 00ff = RAM [Zero Page]	
102	0x0066	0000000001100110	0000 - 00ff = RAM [Zero Page]	
103	0x0067	0000000001100111	0000 - 00ff = RAM [Zero Page]	
104	0x0068	0000000001101000	0000 - 00ff = RAM [Zero Page]	
105	0x0069	0000000001101001	0000 - 00ff = RAM [Zero Page]	
106	0x006a	0000000001101010	0000 - 00ff = RAM [Zero Page]	
107	0x006b	0000000001101011	0000 - 00ff = RAM [Zero Page]	
108	0x006c	0000000001101100	0000 - 00ff = RAM [Zero Page]	
109	0x006d	0000000001101101	0000 - 00ff = RAM [Zero Page]	
110	0x006e	0000000001101110	0000 - 00ff = RAM [Zero Page]	
111	0x006f	0000000001101111	0000 - 00ff = RAM [Zero Page]	
112	0x0070	0000000001110000	0000 - 00ff = RAM [Zero Page]	
113	0x0071	0000000001110001	0000 - 00ff = RAM [Zero Page]	
114	0x0072	0000000001110010	0000 - 00ff = RAM [Zero Page]	
115	0x0073	0000000001110011	0000 - 00ff = RAM [Zero Page]	
116	0x0074	0000000001110100	0000 - 00ff = RAM [Zero Page]	
117	0x0075	0000000001110101	0000 - 00ff = RAM [Zero Page]	
118	0x0076	0000000001110110	0000 - 00ff = RAM [Zero Page]	
119	0x0077	0000000001110111	0000 - 00ff = RAM [Zero Page]	
120	0x0078	0000000001111000	0000 - 00ff = RAM [Zero Page]	
121	0x0079	0000000001111001	0000 - 00ff = RAM [Zero Page]	
122	0x007a	0000000001111010	0000 - 00ff = RAM [Zero Page]	
123	0x007b	0000000001111011	0000 - 00ff = RAM [Zero Page]	
124	0x007c	0000000001111100	0000 - 00ff = RAM [Zero Page]	
125	0x007d	0000000001111101	0000 - 00ff = RAM [Zero Page]	
126	0x007e	0000000001111110	0000 - 00ff = RAM [Zero Page]	
127	0x007f	0000000001111111	0000 - 00ff = RAM [Zero Page]	
128	0x0080	0000000010000000	0000 - 00ff = RAM [Zero Page]	
129	0x0081	0000000010000001	0000 - 00ff = RAM [Zero Page]	
130	0x0082	0000000010000010	0000 - 00ff = RAM [Zero Page]	
131	0x0083	0000000010000011	0000 - 00ff = RAM [Zero Page]	
132	0x0084	0000000010000100	0000 - 00ff = RAM [Zero Page]	
133	0x0085	0000000010000101	0000 - 00ff = RAM [Zero Page]	
134	0x0086	0000000010000110	0000 - 00ff = RAM [Zero Page]	
135	0x0087	0000000010000111	0000 - 00ff = RAM [Zero Page]	
136	0x0088	0000000010001000	0000 - 00ff = RAM [Zero Page]	
137	0x0089	0000000010001001	0000 - 00ff = RAM [Zero Page]	
138	0x008a	0000000010001010	0000 - 00ff = RAM [Zero Page]	
139	0x008b	0000000010001011	0000 - 00ff = RAM [Zero Page]	
140	0x008c	0000000010001100	0000 - 00ff = RAM [Zero Page]	
141	0x008d	0000000010001101	0000 - 00ff = RAM [Zero Page]	
142	0x008e	0000000010001110	0000 - 00ff = RAM [Zero Page]	
143	0x008f	0000000010001111	0000 - 00ff = RAM [Zero Page]	
144	0x0090	0000000010010000	0000 - 00ff = RAM [Zero Page]	
145	0x0091	0000000010010001	0000 - 00ff = RAM [Zero Page]	
146	0x0092	0000000010010010	0000 - 00ff = RAM [Zero Page]	
147	0x0093	0000000010010011	0000 - 00ff = RAM [Zero Page]	
148	0x0094	0000000010010100	0000 - 00ff = RAM [Zero Page]	
149	0x0095	0000000010010101	0000 - 00ff = RAM [Zero Page]	
150	0x0096	0000000010010110	0000 - 00ff = RAM [Zero Page]	
151	0x0097	0000000010010111	0000 - 00ff = RAM [Zero Page]	
152	0x0098	0000000010011000	0000 - 00ff = RAM [Zero Page]	
153	0x0099	0000000010011001	0000 - 00ff = RAM [Zero Page]	
154	0x009a	0000000010011010	0000 - 00ff = RAM [Zero Page]	
155	0x009b	0000000010011011	0000 - 00ff = RAM [Zero Page]	
156	0x009c	0000000010011100	0000 - 00ff = RAM [Zero Page]	
157	0x009d	0000000010011101	0000 - 00ff = RAM [Zero Page]	
158	0x009e	0000000010011110	0000 - 00ff = RAM [Zero Page]	
159	0x009f	0000000010011111	0000 - 00ff = RAM [Zero Page]	
160	0x00a0	0000000010100000	0000 - 00ff = RAM [Zero Page]	
161	0x00a1	0000000010100001	0000 - 00ff = RAM [Zero Page]	
162	0x00a2	0000000010100010	0000 - 00ff = RAM [Zero Page]	
163	0x00a3	0000000010100011	0000 - 00ff = RAM [Zero Page]	
164	0x00a4	0000000010100100	0000 - 00ff = RAM [Zero Page]	
165	0x00a5	0000000010100101	0000 - 00ff = RAM [Zero Page]	
166	0x00a6	0000000010100110	0000 - 00ff = RAM [Zero Page]	
167	0x00a7	0000000010100111	0000 - 00ff = RAM [Zero Page]	
168	0x00a8	0000000010101000	0000 - 00ff = RAM [Zero Page]	
169	0x00a9	0000000010101001	0000 - 00ff = RAM [Zero Page]	
170	0x00aa	0000000010101010	0000 - 00ff = RAM [Zero Page]	
171	0x00ab	0000000010101011	0000 - 00ff = RAM [Zero Page]	
172	0x00ac	0000000010101100	0000 - 00ff = RAM [Zero Page]	
173	0x00ad	0000000010101101	0000 - 00ff = RAM [Zero Page]	
174	0x00ae	0000000010101110	0000 - 00ff = RAM [Zero Page]	
175	0x00af	0000000010101111	0000 - 00ff = RAM [Zero Page]	
176	0x00b0	0000000010110000	0000 - 00ff = RAM [Zero Page]	
177	0x00b1	0000000010110001	0000 - 00ff = RAM [Zero Page]	
178	0x00b2	0000000010110010	0000 - 00ff = RAM [Zero Page]	
179	0x00b3	0000000010110011	0000 - 00ff = RAM [Zero Page]	
180	0x00b4	0000000010110100	0000 - 00ff = RAM [Zero Page]	
181	0x00b5	0000000010110101	0000 - 00ff = RAM [Zero Page]	
182	0x00b6	0000000010110110	0000 - 00ff = RAM [Zero Page]	
183	0x00b7	0000000010110111	0000 - 00ff = RAM [Zero Page]	
184	0x00b8	0000000010111000	0000 - 00ff = RAM [Zero Page]	
185	0x00b9	0000000010111001	0000 - 00ff = RAM [Zero Page]	
186	0x00ba	0000000010111010	0000 - 00ff = RAM [Zero Page]	
187	0x00bb	0000000010111011	0000 - 00ff = RAM [Zero Page]	
188	0x00bc	0000000010111100	0000 - 00ff = RAM [Zero Page]	
189	0x00bd	0000000010111101	0000 - 00ff = RAM [Zero Page]	
190	0x00be	0000000010111110	0000 - 00ff = RAM [Zero Page]	
191	0x00bf	0000000010111111	0000 - 00ff = RAM [Zero Page]	
192	0x00c0	0000000011000000	0000 - 00ff = RAM [Zero Page]	
193	0x00c1	0000000011000001	0000 - 00ff = RAM [Zero Page]	
194	0x00c2	0000000011000010	0000 - 00ff = RAM [Zero Page]	
195	0x00c3	0000000011000011	0000 - 00ff = RAM [Zero Page]	
196	0x00c4	0000000011000100	0000 - 00ff = RAM [Zero Page]	
197	0x00c5	0000000011000101	0000 - 00ff = RAM [Zero Page]	
198	0x00c6	0000000011000110	0000 - 00ff = RAM [Zero Page]	
199	0x00c7	0000000011000111	0000 - 00ff = RAM [Zero Page]	
200	0x00c8	0000000011001000	0000 - 00ff = RAM [Zero Page]	
201	0x00c9	0000000011001001	0000 - 00ff = RAM [Zero Page]	
202	0x00ca	0000000011001010	0000 - 00ff = RAM [Zero Page]	
203	0x00cb	0000000011001011	0000 - 00ff = RAM [Zero Page]	
204	0x00cc	0000000011001100	0000 - 00ff = RAM [Zero Page]	
205	0x00cd	0000000011001101	0000 - 00ff = RAM [Zero Page]	
206	0x00ce	0000000011001110	0000 - 00ff = RAM [Zero Page]	
207	0x00cf	0000000011001111	0000 - 00ff = RAM [Zero Page]	
208	0x00d0	0000000011010000	0000 - 00ff = RAM [Zero Page]	
209	0x00d1	0000000011010001	0000 - 00ff = RAM [Zero Page]	
210	0x00d2	0000000011010010	0000 - 00ff = RAM [Zero Page]	
211	0x00d3	0000000011010011	0000 - 00ff = RAM [Zero Page]	
212	0x00d4	0000000011010100	0000 - 00ff = RAM [Zero Page]	
213	0x00d5	0000000011010101	0000 - 00ff = RAM [Zero Page]	
214	0x00d6	0000000011010110	0000 - 00ff = RAM [Zero Page]	
215	0x00d7	0000000011010111	0000 - 00ff = RAM [Zero Page]	
216	0x00d8	0000000011011000	0000 - 00ff = RAM [Zero Page]	
217	0x00d9	0000000011011001	0000 - 00ff = RAM [Zero Page]	
218	0x00da	0000000011011010	0000 - 00ff = RAM [Zero Page]	
219	0x00db	0000000011011011	0000 - 00ff = RAM [Zero Page]	
220	0x00dc	0000000011011100	0000 - 00ff = RAM [Zero Page]	
221	0x00dd	0000000011011101	0000 - 00ff = RAM [Zero Page]	
222	0x00de	0000000011011110	0000 - 00ff = RAM [Zero Page]	
223	0x00df	0000000011011111	0000 - 00ff = RAM [Zero Page]	
224	0x00e0	0000000011100000	0000 - 00ff = RAM [Zero Page]	
225	0x00e1	0000000011100001	0000 - 00ff = RAM [Zero Page]	
226	0x00e2	0000000011100010	0000 - 00ff = RAM [Zero Page]	
227	0x00e3	0000000011100011	0000 - 00ff = RAM [Zero Page]	
228	0x00e4	0000000011100100	0000 - 00ff = RAM [Zero Page]	
229	0x00e5	0000000011100101	0000 - 00ff = RAM [Zero Page]	
230	0x00e6	0000000011100110	0000 - 00ff = RAM [Zero Page]	
231	0x00e7	0000000011100111	0000 - 00ff = RAM [Zero Page]	
232	0x00e8	0000000011101000	0000 - 00ff = RAM [Zero Page]	
233	0x00e9	0000000011101001	0000 - 00ff = RAM [Zero Page]	
234	0x00ea	0000000011101010	0000 - 00ff = RAM [Zero Page]	
235	0x00eb	0000000011101011	0000 - 00ff = RAM [Zero Page]	
236	0x00ec	0000000011101100	0000 - 00ff = RAM [Zero Page]	
237	0x00ed	0000000011101101	0000 - 00ff = RAM [Zero Page]	
238	0x00ee	0000000011101110	0000 - 00ff = RAM [Zero Page]	
239	0x00ef	0000000011101111	0000 - 00ff = RAM [Zero Page]	
240	0x00f0	0000000011110000	0000 - 00ff = RAM [Zero Page]	
241	0x00f1	0000000011110001	0000 - 00ff = RAM [Zero Page]	
242	0x00f2	0000000011110010	0000 - 00ff = RAM [Zero Page]	
243	0x00f3	0000000011110011	0000 - 00ff = RAM [Zero Page]	
244	0x00f4	0000000011110100	0000 - 00ff = RAM [Zero Page]	
245	0x00f5	0000000011110101	0000 - 00ff = RAM [Zero Page]	
246	0x00f6	0000000011110110	0000 - 00ff = RAM [Zero Page]	
247	0x00f7	0000000011110111	0000 - 00ff = RAM [Zero Page]	
248	0x00f8	0000000011111000	0000 - 00ff = RAM [Zero Page]	
249	0x00f9	0000000011111001	0000 - 00ff = RAM [Zero Page]	
250	0x00fa	0000000011111010	0000 - 00ff = RAM [Zero Page]	
251	0x00fb	0000000011111011	0000 - 00ff = RAM [Zero Page]	
252	0x00fc	0000000011111100	0000 - 00ff = RAM [Zero Page]	
253	0x00fd	0000000011111101	0000 - 00ff = RAM [Zero Page]	
254	0x00fe	0000000011111110	0000 - 00ff = RAM [Zero Page]	
255	0x00ff	0000000011111111	0000 - 00ff = RAM [Zero Page]	
256	0x0100	0000000100000000	0100 - 01ff = RAM [Stack Pointer]	
257	0x0101	0000000100000001	0100 - 01ff = RAM [Stack Pointer]	
258	0x0102	0000000100000010	0100 - 01ff = RAM [Stack Pointer]	
259	0x0103	0000000100000011	0100 - 01ff = RAM [Stack Pointer]	
260	0x0104	0000000100000100	0100 - 01ff = RAM [Stack Pointer]	
261	0x0105	0000000100000101	0100 - 01ff = RAM [Stack Pointer]	
262	0x0106	0000000100000110	0100 - 01ff = RAM [Stack Pointer]	
263	0x0107	0000000100000111	0100 - 01ff = RAM [Stack Pointer]	
264	0x0108	0000000100001000	0100 - 01ff = RAM [Stack Pointer]	
265	0x0109	0000000100001001	0100 - 01ff = RAM [Stack Pointer]	
